id,propositions,nl_sentence,dataset_tl
2603,"['go_by_house', 'stop_by_trash_can']",at some time go by house until at any time stop by trash can,F(go_by_house)UF(stop_by_trash_can)
1479,"['drop_orange', 'journey_by_house']",drop orange and at any time journey by house,drop_orange&F(journey_by_house)
3775,"['move_to_trash_can', 'put_in_bucket']",move to trash can and put in bucket,move_to_trash_can&put_in_bucket
1080,"['drop_orange', 'grip_apple']",never drop orange and grip apple,G(~(drop_orange))&grip_apple
5681,"['journey_to_tree', 'pick_up_peach']",at some time journey to tree or at any time pick up peach,F(journey_to_tree)|F(pick_up_peach)
1370,"['put_in_apple_bucket', 'tax_apple']",put in apple bucket or when possible tax apple,put_in_apple_bucket|F(tax_apple)
1857,"['go_to_flag', 'pick_up_flag']",whenever go to flag and pick up flag,F(go_to_flag)&pick_up_flag
4893,"['grab_orange', 'secure_pear']",at some time grab orange and when possible secure pear,F(grab_orange)&F(secure_pear)
1226,"['drop_orange', 'let_go_orange']",never drop orange and don't let go orange,G(~(drop_orange))&~(let_go_orange)
1302,"['drop_orange', 'spend_time_at_tree']","when never drop orange , when possible spend time at tree",G(~(drop_orange))->F(spend_time_at_tree)
1600,"['getting_pear', 'obtain_apple']","when whenever getting pear , at any time obtain apple",F(getting_pear)->F(obtain_apple)
4453,"['travel_house', 'get_hold_of_orange']",whenever travel house or when possible get hold of orange,F(travel_house)|F(get_hold_of_orange)
4030,"['go_by_house', 'pick_up_pear']",whenever go by house and pick up pear,F(go_by_house)&pick_up_pear
1779,"['present_at_flag', 'bring_pear']","when when possible present at flag , at some time bring pear",F(present_at_flag)->F(bring_pear)
4621,"['travel_to_tree', 'be_at_house']",travel to tree and at some time be at house,travel_to_tree&F(be_at_house)
5081,"['venture_to_waste_basket', 'acquire_orange']",when possible venture to waste basket and acquire orange,F(venture_to_waste_basket)&acquire_orange
1310,"['go_near_house', 'clutch_orange']",whenever go near house and at some time clutch orange,F(go_near_house)&F(clutch_orange)
3003,"['acquire_pear', 'travel_to_waste_bin']",at some time acquire pear or travel to waste bin,F(acquire_pear)|travel_to_waste_bin
1280,"['present_at_flag', 'reach_flag']",at any time present at flag or when possible reach flag,F(present_at_flag)|F(reach_flag)
2567,"['let_go_orange', 'grasp_orange']",never let go orange and grasp orange,G(~(let_go_orange))&grasp_orange
3190,"['get_close_tree', 'pass_by_trash_bin']",whenever get close tree or when possible pass by trash bin,F(get_close_tree)|F(pass_by_trash_bin)
5995,"['tax_apple', 'visit_house']",when possible tax apple and when possible visit house,F(tax_apple)&F(visit_house)
2382,"['come_to_tree', 'go_near_house']",come to tree and at any time go near house,come_to_tree&F(go_near_house)
1181,"['seize_pear', 'grab_apple']",at some time seize pear or at some time grab apple,F(seize_pear)|F(grab_apple)
1131,"['go_to_tree', 'take_orange']",whenever go to tree and take orange,F(go_to_tree)&take_orange
4817,"['set_out_to_house', 'seize_orange']",at any time set out to house or at some time seize orange,F(set_out_to_house)|F(seize_orange)
5937,"['take_possession_of_bear', 'grab_orange']",whenever take possession of bear or when possible grab orange,F(take_possession_of_bear)|F(grab_orange)
1287,"['bring_pear', 'venture_towards_house']",whenever bring pear and venture towards house,F(bring_pear)&venture_towards_house
1966,"['go_past_flag', 'obtain_pear']",at any time go past flag or at some time obtain pear,F(go_past_flag)|F(obtain_pear)
2699,"['visit_flag', 'pick_up_peach']",when possible visit flag means that at some time pick up peach,F(visit_flag)->F(pick_up_peach)
1894,"['present_at_flag', 'bring_pear']",at any time present at flag or when possible bring pear,F(present_at_flag)|F(bring_pear)
5790,"['grasp_pear', 'collect_apple']",whenever grasp pear and at some time collect apple,F(grasp_pear)&F(collect_apple)
3385,"['make_contact_with_house', 'get_hold_of_orange']",whenever make contact with house can infer that whenever get hold of orange,F(make_contact_with_house)->F(get_hold_of_orange)
3452,"['take_apple', 'procure_pear']",take apple or when possible procure pear,take_apple|F(procure_pear)
4872,"['take_to_trash_can', 'capture_pear']",take to trash can and when possible capture pear,take_to_trash_can&F(capture_pear)
3001,"['contact_house', 'stop_by_flag']",whenever contact house or stop by flag,F(contact_house)|stop_by_flag
5901,"['gather_apple', 'drop_apple']",gather apple or never drop apple,gather_apple|G(~(drop_apple))
2355,"['put_in_bin', 'pass_by_trash_bin']",put in bin and at some time pass by trash bin,put_in_bin&F(pass_by_trash_bin)
1299,"['withhold_apple', 'withhold_apple']",at any time withhold apple or whenever withhold apple,F(withhold_apple)|F(withhold_apple)
5493,"['let_go_pear', 'snatch_pear']",don't let go pear until at any time snatch pear,~(let_go_pear)UF(snatch_pear)
1301,"['drop_pear', 'reach_house']",drop pear and reach house,drop_pear&reach_house
4945,"['take_orange', 'go_past_house']","when take orange , at some time go past house",take_orange->F(go_past_house)
5193,"['move_forward_trash_can', 'contact_house']",when possible move forward trash can or at some time contact house,F(move_forward_trash_can)|F(contact_house)
4164,"['start_going_to_tree', 'have_possession_of_apple']",at some time start going to tree or at some time have possession of apple,F(start_going_to_tree)|F(have_possession_of_apple)
2233,"['keep_apple', 'get_to_flag']",keep apple can infer that at any time get to flag,keep_apple->F(get_to_flag)
2441,"['grab_hold_pear', 'let_go_orange']",grab hold pear can infer that don't let go orange,grab_hold_pear->~(let_go_orange)
4208,"['procure_pear', 'pick_up_apple']",whenever procure pear and when possible pick up apple,F(procure_pear)&F(pick_up_apple)
1070,"['let_go_orange', 'get_to_flag']",don't let go orange and at any time get to flag,~(let_go_orange)&F(get_to_flag)
1620,"['secure_apple', 'venture_towards_house']",secure apple or venture towards house,secure_apple|venture_towards_house
1139,"['take_orange', 'make_contact_flag']",take orange and whenever make contact flag,take_orange&F(make_contact_flag)
1172,"['hold_onto_orange', 'journey_to_house']",always hold onto orange or whenever journey to house,G(hold_onto_orange)|F(journey_to_house)
1246,"['venture_to_waste_basket', 'move_to_house']",whenever venture to waste basket and move to house,F(venture_to_waste_basket)&move_to_house
3944,"['make_contact_with_house', 'obtain_pear']","when whenever make contact with house , when possible obtain pear",F(make_contact_with_house)->F(obtain_pear)
2213,"['take_pear', 'hold_orange']",take pear and hold orange,take_pear&hold_orange
3835,"['travel_by_tree', 'go_by_tree']",at any time travel by tree or when possible go by tree,F(travel_by_tree)|F(go_by_tree)
4467,"['seize_orange', 'hold_orange']",when possible seize orange and hold orange,F(seize_orange)&hold_orange
1036,"['go_by_waste_bin', 'present_at_flag']",go by waste bin and whenever present at flag,go_by_waste_bin&F(present_at_flag)
3387,"['make_contact_with_house', 'travel_to_waste_bin']",at some time make contact with house and travel to waste bin,F(make_contact_with_house)&travel_to_waste_bin
4268,"['get_orange', 'have_possession_of_apple']",at some time get orange or at any time have possession of apple,F(get_orange)|F(have_possession_of_apple)
1366,"['go_to_apple_trashcan', 'grip_apple']",repeatedly go to apple trashcan or grip apple,G(F(go_to_apple_trashcan))|grip_apple
1035,"['reach_flag', 'venture_towards_house']",when possible reach flag and venture towards house,F(reach_flag)&venture_towards_house
1444,"['pick_up_peach', 'pick_up_apple']",at any time pick up peach or whenever pick up apple,F(pick_up_peach)|F(pick_up_apple)
1965,"['withhold_apple', 'venture_to_house']","if when possible withhold apple , whenever venture to house",F(withhold_apple)->F(venture_to_house)
5145,"['contact_house', 'put_in_bin']",at any time contact house or put in bin,F(contact_house)|put_in_bin
4571,"['scoop_up_pear', 'go_visit_flag']",at any time scoop up pear or go visit flag,F(scoop_up_pear)|go_visit_flag
4941,"['advance_to_house', 'touch_tree']",at any time advance to house or at any time touch tree,F(advance_to_house)|F(touch_tree)
5514,"['make_way_to_house', 'go_near_pear']",repeatedly make way to house or at some time go near pear,G(F(make_way_to_house))|F(go_near_pear)
1917,"['move_near_tree', 'travel_to_apple']",whenever move near tree and travel to apple,F(move_near_tree)&travel_to_apple
3626,"['approach_house', 'contact_house']",at some time approach house and whenever contact house,F(approach_house)&F(contact_house)
2020,"['be_at_house', 'go_to_peach']",when possible be at house or at any time go to peach,F(be_at_house)|F(go_to_peach)
1071,"['grab_flag', 'snag_orange']",whenever grab flag and when possible snag orange,F(grab_flag)&F(snag_orange)
1757,"['make_way_waste_basket', 'snag_orange']",at some time make way waste basket or at some time snag orange,F(make_way_waste_basket)|F(snag_orange)
2479,"['withdraw_pear', 'be_in_houses_vicinity']",when possible withdraw pear or at some time be in house's vicinity,F(withdraw_pear)|F(be_in_houses_vicinity)
1095,"['venture_towards_house', 'reach_flag']","if venture towards house , at any time reach flag",venture_towards_house->F(reach_flag)
2055,"['move_to_trashcan', 'go_near_house']",move to trashcan or at any time go near house,move_to_trashcan|F(go_near_house)
3818,"['take_pear', 'drop_apple']",take pear until never drop apple,take_pearUG(~(drop_apple))
2773,"['gather_pear', 'collect_pear']",whenever gather pear and collect pear,F(gather_pear)&collect_pear
3317,"['pick_up_peach', 'go_near_pear']",at any time pick up peach or at some time go near pear,F(pick_up_peach)|F(go_near_pear)
4312,"['touch_flag', 'be_at_house']",always touch flag and at some time be at house,G(touch_flag)&F(be_at_house)
2026,"['go_near_flag', 'move_towards_trash_can']",when possible go near flag or move towards trash can,F(go_near_flag)|move_towards_trash_can
1632,"['have_in_orange', 'start_going_to_house']",always have in orange and at any time start going to house,G(have_in_orange)&F(start_going_to_house)
5508,"['arrive_at_tree', 'drop_apple']",whenever arrive at tree or never drop apple,F(arrive_at_tree)|G(~(drop_apple))
1166,"['get_close_tree', 'put_in_apple_bucket']",whenever get close tree until put in apple bucket,F(get_close_tree)Uput_in_apple_bucket
2017,"['be_in_houses_vicinity', 'venture_flag']",whenever be in house's vicinity and at any time venture flag,F(be_in_houses_vicinity)&F(venture_flag)
1233,"['grab_pear', 'touch_house']",when possible grab pear and when possible touch house,F(grab_pear)&F(touch_house)
1714,"['travel_to_apple', 'start_going_to_house']",travel to apple and when possible start going to house,travel_to_apple&F(start_going_to_house)
5949,"['contact_flag', 'go_past_flag']",at some time contact flag or at some time go past flag,F(contact_flag)|F(go_past_flag)
2860,"['hold_pear', 'yield_pear']",hold pear or whenever yield pear,hold_pear|F(yield_pear)
2154,"['go_to_trash_can', 'get_hold_orange']",when possible go to trash can or whenever get hold orange,F(go_to_trash_can)|F(get_hold_orange)
2893,"['come_home', 'take_apple']",at any time come home and take apple,F(come_home)&take_apple
1823,"['come_home', 'secure_pear']",at some time come home or at any time secure pear,F(come_home)|F(secure_pear)
2021,"['grab_tree', 'migrate_to_tree']",repeatedly grab tree or at some time migrate to tree,G(F(grab_tree))|F(migrate_to_tree)
1707,"['have_in_orange', 'get_near_flag']",always have in orange and at some time get near flag,G(have_in_orange)&F(get_near_flag)
2064,"['have_pear', 'get_near_flag']",when possible have pear or at any time get near flag,F(have_pear)|F(get_near_flag)
1030,"['present_at_flag', 'bring_pear']",whenever present at flag or at some time bring pear,F(present_at_flag)|F(bring_pear)
2522,"['let_go_apple', 'pick_up_fruit']",never let go apple or pick up fruit,G(~(let_go_apple))|pick_up_fruit
4874,"['approach_house', 'go_by_flag']",when possible approach house or when possible go by flag,F(approach_house)|F(go_by_flag)
5567,"['be_near_tree', 'stop_by_trash_can']",at some time be near tree and at any time stop by trash can,F(be_near_tree)&F(stop_by_trash_can)
3574,"['go_by_house', 'steal_apple']",at any time go by house or when possible steal apple,F(go_by_house)|F(steal_apple)
5914,"['venture_house', 'touch_flag']",when possible venture house can infer that forever touch flag,F(venture_house)->G(touch_flag)
5128,"['yield_pear', 'hold_onto_orange']",whenever yield pear or always hold onto orange,F(yield_pear)|G(hold_onto_orange)
1549,"['venture_flag', 'let_go_orange']",when possible venture flag and don't let go orange,F(venture_flag)&~(let_go_orange)
1209,"['go_to_apple_trashcan', 'make_to_flag']",repeatedly go to apple trashcan until at any time make to flag,G(F(go_to_apple_trashcan))UF(make_to_flag)
3035,"['pick_up_flag', 'get_hold_of_pear']",pick up flag or get hold of pear,pick_up_flag|get_hold_of_pear
2040,"['go_to_pear', 'go_near_flag']",repeatedly go to pear and at some time go near flag,G(F(go_to_pear))&F(go_near_flag)
1691,"['drop_apple', 'bring_pear']",never drop apple and whenever bring pear,G(~(drop_apple))&F(bring_pear)
4627,"['go_to_tree', 'reach_trash_can']",at any time go to tree can infer that reach trash can,F(go_to_tree)->reach_trash_can
1186,"['go_by_waste_bin', 'go_by_waste_bin']",go by waste bin or go by waste bin,go_by_waste_bin|go_by_waste_bin
1278,"['lay_hold_of_apple', 'hold_on_pear']",whenever lay hold of apple or always hold on pear,F(lay_hold_of_apple)|G(hold_on_pear)
1406,"['make_way_waste_basket', 'get_to_tree']",whenever make way waste basket until get to tree,F(make_way_waste_basket)Uget_to_tree
2255,"['let_go_pear', 'venture_flag']",do not let go pear until at any time venture flag,~(let_go_pear)UF(venture_flag)
2322,"['seize_orange', 'get_close_tree']",whenever seize orange or when possible get close tree,F(seize_orange)|F(get_close_tree)
3959,"['getting_pear', 'venture_to_waste_basket']",when possible getting pear or when possible venture to waste basket,F(getting_pear)|F(venture_to_waste_basket)
1679,"['go_by_waste_bin', 'venture_towards_house']",go by waste bin or venture towards house,go_by_waste_bin|venture_towards_house
1009,"['drop_apple', 'bring_pear']",never drop apple and whenever bring pear,G(~(drop_apple))&F(bring_pear)
1405,"['venture_towards_house', 'withhold_apple']",venture towards house or when possible withhold apple,venture_towards_house|F(withhold_apple)
1625,"['make_way_waste_basket', 'drop_orange']",whenever make way waste basket until never drop orange,F(make_way_waste_basket)UG(~(drop_orange))
1098,"['let_go_orange', 'visit_house']",never let go orange or when possible visit house,G(~(let_go_orange))|F(visit_house)
4741,"['pick_up_apple', 'get_apple']",when possible pick up apple or whenever get apple,F(pick_up_apple)|F(get_apple)
3796,"['start_going_to_tree', 'proceed_to_house']",when possible start going to tree until whenever proceed to house,F(start_going_to_tree)UF(proceed_to_house)
3410,"['pass_by_trash_bin', 'procure_pear']",whenever pass by trash bin can infer that at any time procure pear,F(pass_by_trash_bin)->F(procure_pear)
1320,"['go_by_waste_basket', 'venture_towards_house']",at any time go by waste basket or venture towards house,F(go_by_waste_basket)|venture_towards_house
2275,"['shift_to_flag', 'let_go_orange']",at any time shift to flag and never let go orange,F(shift_to_flag)&G(~(let_go_orange))
2484,"['contact_house', 'going_to_house']",at some time contact house and when possible going to house,F(contact_house)&F(going_to_house)
1265,"['journey_by_house', 'go_to_bucket']",at some time journey by house can infer that go to bucket,F(journey_by_house)->go_to_bucket
5175,"['go_home', 'going_to_tree']",at some time go home or going to tree,F(go_home)|going_to_tree
3106,"['travel_to_waste_bin', 'get_hold_apple']",travel to waste bin or when possible get hold apple,travel_to_waste_bin|F(get_hold_apple)
1300,"['withhold_apple', 'go_by_waste_basket']",whenever withhold apple or at any time go by waste basket,F(withhold_apple)|F(go_by_waste_basket)
1896,"['get_close_tree', 'drop_pear']",when possible get close tree or never drop pear,F(get_close_tree)|G(~(drop_pear))
1552,"['have_pear', 'have_pear']",whenever have pear or at any time have pear,F(have_pear)|F(have_pear)
2259,"['get_to_tree', 'got_to_house']",get to tree or whenever got to house,get_to_tree|F(got_to_house)
5960,"['go_by_flag', 'pick_up_fruit']",at any time go by flag or pick up fruit,F(go_by_flag)|pick_up_fruit
4566,"['move_towards_trash_can', 'approach_house']",move towards trash can or at some time approach house,move_towards_trash_can|F(approach_house)
2560,"['put_in_apple_bucket', 'going_to_tree']",put in apple bucket or going to tree,put_in_apple_bucket|going_to_tree
1388,"['let_go_orange', 'move_towards_trash_can']",never let go orange or move towards trash can,G(~(let_go_orange))|move_towards_trash_can
1247,"['move_to_trashcan', 'migrate_to_tree']",move to trashcan and at any time migrate to tree,move_to_trashcan&F(migrate_to_tree)
2449,"['withdraw_pear', 'journey_by_flag']",when possible withdraw pear and at some time journey by flag,F(withdraw_pear)&F(journey_by_flag)
4161,"['stand_by_tree', 'proceed_to_tree']",when possible stand by tree or at any time proceed to tree,F(stand_by_tree)|F(proceed_to_tree)
4474,"['go_to_peach', 'seize_pear']",at any time go to peach or at some time seize pear,F(go_to_peach)|F(seize_pear)
1257,"['touch_house', 'go_to_flag']",when possible touch house and whenever go to flag,F(touch_house)&F(go_to_flag)
1662,"['hold_on_pear', 'got_to_house']",always hold on pear or whenever got to house,G(hold_on_pear)|F(got_to_house)
1110,"['procure_apple', 'go_to_orange']",procure apple or go to orange,procure_apple|go_to_orange
4796,"['go_to_flag', 'proceed_to_flag']",at any time go to flag or at any time proceed to flag,F(go_to_flag)|F(proceed_to_flag)
1474,"['arrive_at_tree', 'take_orange']",at some time arrive at tree and take orange,F(arrive_at_tree)&take_orange
3321,"['steal_apple', 'approach_tree']",when possible steal apple or approach tree,F(steal_apple)|approach_tree
4383,"['put_in_bin', 'make_contact_flag']",put in bin or whenever make contact flag,put_in_bin|F(make_contact_flag)
1498,"['venture_towards_house', 'present_at_flag']",venture towards house and at any time present at flag,venture_towards_house&F(present_at_flag)
5605,"['go_by_house', 'stop_by_flag']",at some time go by house and stop by flag,F(go_by_house)&stop_by_flag
5207,"['go_near_flag', 'pick_up_apple']",whenever go near flag and at some time pick up apple,F(go_near_flag)&F(pick_up_apple)
2403,"['visit_tree', 'walk_to_flag']",visit tree means that when possible walk to flag,visit_tree->F(walk_to_flag)
5302,"['go_to_waste_basket', 'touch_flag']",repeatedly go to waste basket until always touch flag,G(F(go_to_waste_basket))UG(touch_flag)
1166,"['withdraw_pear', 'move_near_tree']",whenever withdraw pear or at some time move near tree,F(withdraw_pear)|F(move_near_tree)
3186,"['acquire_apple', 'journey_to_flag']",acquire apple and at some time journey to flag,acquire_apple&F(journey_to_flag)
1107,"['go_by_tree', 'get_close_tree']",when possible go by tree and when possible get close tree,F(go_by_tree)&F(get_close_tree)
1021,"['withhold_apple', 'present_at_flag']",at some time withhold apple or at some time present at flag,F(withhold_apple)|F(present_at_flag)
1305,"['grab_flag', 'take_to_trashcan']",whenever grab flag or take to trashcan,F(grab_flag)|take_to_trashcan
1327,"['get_close_tree', 'travel_to_flag']",whenever get close tree or when possible travel to flag,F(get_close_tree)|F(travel_to_flag)
1839,"['secure_apple', 'reach_flag']",secure apple until at any time reach flag,secure_appleUF(reach_flag)
3008,"['seize_orange', 'haul_pear']",when possible seize orange and at any time haul pear,F(seize_orange)&F(haul_pear)
2209,"['make_way_waste_basket', 'track_towards_tree']",at any time make way waste basket and whenever track towards tree,F(make_way_waste_basket)&F(track_towards_tree)
2354,"['journey_by_house', 'contact_house']",at any time journey by house or at some time contact house,F(journey_by_house)|F(contact_house)
5088,"['snatch_pear', 'take_to_tree']",at any time snatch pear or take to tree,F(snatch_pear)|take_to_tree
1013,"['procure_pear', 'make_way_to_house']",at some time procure pear and repeatedly make way to house,F(procure_pear)&G(F(make_way_to_house))
3265,"['venture_to_waste_basket', 'contact_flag']",whenever venture to waste basket or at any time contact flag,F(venture_to_waste_basket)|F(contact_flag)
3973,"['grasp_orange', 'take_to_trash_can']",grasp orange and take to trash can,grasp_orange&take_to_trash_can
1924,"['clutch_orange', 'start_going_to_house']",whenever clutch orange or whenever start going to house,F(clutch_orange)|F(start_going_to_house)
5025,"['grasp_apple', 'approach_house']",at any time grasp apple can infer that at any time approach house,F(grasp_apple)->F(approach_house)
1250,"['secure_apple', 'venture_to_house']",secure apple and at any time venture to house,secure_apple&F(venture_to_house)
4618,"['advance_to_house', 'go_near_pear']",at some time advance to house or when possible go near pear,F(advance_to_house)|F(go_near_pear)
1090,"['go_by_waste_basket', 'go_by_waste_basket']",at any time go by waste basket and at some time go by waste basket,F(go_by_waste_basket)&F(go_by_waste_basket)
2805,"['grab_pear', 'go_by_flag']",at some time grab pear or when possible go by flag,F(grab_pear)|F(go_by_flag)
3277,"['touch_house', 'let_go_apple']",when possible touch house and never let go apple,F(touch_house)&G(~(let_go_apple))
2340,"['make_to_flag', 'move_near_tree']",when possible make to flag or whenever move near tree,F(make_to_flag)|F(move_near_tree)
5202,"['move_to_house', 'go_past_flag']",move to house until at some time go past flag,move_to_houseUF(go_past_flag)
4406,"['pick_up_orange', 'pick_up_peach']",pick up orange or at some time pick up peach,pick_up_orange|F(pick_up_peach)
3358,"['go_to_home', 'get_hold_of_orange']",at some time go to home or when possible get hold of orange,F(go_to_home)|F(get_hold_of_orange)
2638,"['stop_by_flag', 'go_by_tree']",stop by flag and when possible go by tree,stop_by_flag&F(go_by_tree)
3120,"['pass_by_house', 'withold_apple']",at some time pass by house or whenever withold apple,F(pass_by_house)|F(withold_apple)
2416,"['move_near_tree', 'go_to_apple_trashcan']",at some time move near tree and repeatedly go to apple trashcan,F(move_near_tree)&G(F(go_to_apple_trashcan))
2281,"['withdraw_pear', 'go_to_apple_trashcan']",when possible withdraw pear or repeatedly go to apple trashcan,F(withdraw_pear)|G(F(go_to_apple_trashcan))
2185,"['go_to_orange_bin', 'venture_flag']",go to orange bin or when possible venture flag,go_to_orange_bin|F(venture_flag)
2218,"['gather_pear', 'grab_orange']",at some time gather pear or whenever grab orange,F(gather_pear)|F(grab_orange)
1404,"['go_to_apple_trashcan', 'grab_flag']",repeatedly go to apple trashcan or whenever grab flag,G(F(go_to_apple_trashcan))|F(grab_flag)
5369,"['proceed_to_house', 'go_to_tree']",whenever proceed to house and whenever go to tree,F(proceed_to_house)&F(go_to_tree)
3389,"['make_contact_with_house', 'move_to_tree']",at any time make contact with house or move to tree,F(make_contact_with_house)|move_to_tree
1658,"['pick_up_anything', 'go_visit_house']",don't pick up anything and whenever go visit house,~(F(pick_up_anything))&F(go_visit_house)
4835,"['travel_house', 'stand_by_tree']",whenever travel house and at some time stand by tree,F(travel_house)&F(stand_by_tree)
1208,"['drop_apple', 'secure_apple']",never drop apple or secure apple,G(~(drop_apple))|secure_apple
1249,"['present_at_flag', 'reach_flag']",at some time present at flag until at some time reach flag,F(present_at_flag)UF(reach_flag)
2429,"['got_to_house', 'go_near_house']",at some time got to house or whenever go near house,F(got_to_house)|F(go_near_house)
3819,"['go_visit_flag', 'capture_pear']",go visit flag and whenever capture pear,go_visit_flag&F(capture_pear)
5364,"['go_near_flag', 'pick_up_flag']",whenever go near flag or pick up flag,F(go_near_flag)|pick_up_flag
5410,"['drop_by', 'venture_to_flag']","when drop by , whenever venture to flag",drop_by->F(venture_to_flag)
1696,"['make_way_waste_basket', 'be_in_houses_vicinity']",whenever make way waste basket means that at some time be in house's vicinity,F(make_way_waste_basket)->F(be_in_houses_vicinity)
3967,"['stop_by_flag', 'proceed_to_tree']",stop by flag can infer that when possible proceed to tree,stop_by_flag->F(proceed_to_tree)
3678,"['grasp_apple', 'move_to_trash_can']",when possible grasp apple or move to trash can,F(grasp_apple)|move_to_trash_can
5755,"['scoop_up_apple', 'capture_orange']",at any time scoop up apple and capture orange,F(scoop_up_apple)&capture_orange
1076,"['have_in_orange', 'snag_orange']",always have in orange or when possible snag orange,G(have_in_orange)|F(snag_orange)
2381,"['pick_up_flag', 'seize_pear']","if pick up flag , at some time seize pear",pick_up_flag->F(seize_pear)
4617,"['visit_tree', 'steal_apple']",visit tree or whenever steal apple,visit_tree|F(steal_apple)
2762,"['hold_apple', 'go_to_apple']",hold apple and at some time go to apple,hold_apple&F(go_to_apple)
5036,"['move_around', 'hold_apple']",forever move around and hold apple,G(move_around)&hold_apple
1182,"['bring_pear', 'venture_towards_house']",whenever bring pear or venture towards house,F(bring_pear)|venture_towards_house
1656,"['journey_by_flag', 'snag_orange']",at any time journey by flag and when possible snag orange,F(journey_by_flag)&F(snag_orange)
1743,"['present_at_flag', 'reach_flag']",whenever present at flag until at some time reach flag,F(present_at_flag)UF(reach_flag)
2698,"['move_to_house', 'take_to_trash_can']","if move to house , take to trash can",move_to_house->take_to_trash_can
1093,"['drop_pear', 'travel_to_house']",never drop pear until whenever travel to house,G(~(drop_pear))UF(travel_to_house)
1552,"['move_forward_trash_can', 'go_to_apple']",at some time move forward trash can or at some time go to apple,F(move_forward_trash_can)|F(go_to_apple)
1025,"['make_contact_with_house', 'reach_tree']",when possible make contact with house or at some time reach tree,F(make_contact_with_house)|F(reach_tree)
1291,"['drop_apple', 'drop_apple']",never drop apple or never drop apple,G(~(drop_apple))|G(~(drop_apple))
2498,"['withdraw_pear', 'be_in_houses_vicinity']",when possible withdraw pear or when possible be in house's vicinity,F(withdraw_pear)|F(be_in_houses_vicinity)
5900,"['move_forward_trash_can', 'get_apple']",when possible move forward trash can or at some time get apple,F(move_forward_trash_can)|F(get_apple)
1497,"['venture_flag', 'keep_apple']",at some time venture flag and keep apple,F(venture_flag)&keep_apple
5940,"['hold_pear', 'venture_to_flag']",hold pear or at any time venture to flag,hold_pear|F(venture_to_flag)
3471,"['grasp_pear', 'go_visit_house']","when at any time grasp pear , whenever go visit house",F(grasp_pear)->F(go_visit_house)
1145,"['contact_house', 'venture_to_flag']",whenever contact house and when possible venture to flag,F(contact_house)&F(venture_to_flag)
1713,"['travel_house', 'put_in_bin']",when possible travel house or put in bin,F(travel_house)|put_in_bin
2056,"['let_go_apple', 'contact_house']",whenever let go apple or at any time contact house,F(let_go_apple)|F(contact_house)
4408,"['have_apple', 'proceed_to_flag']",forever have apple can infer that when possible proceed to flag,G(have_apple)->F(proceed_to_flag)
5968,"['walk_to_flag', 'touch_flag']",whenever walk to flag and always touch flag,F(walk_to_flag)&G(touch_flag)
1289,"['visit_trash_bin', 'clutch_orange']",at some time visit trash bin until at any time clutch orange,F(visit_trash_bin)UF(clutch_orange)
4447,"['acquire_pear', 'pick_up_flag']",whenever acquire pear until pick up flag,F(acquire_pear)Upick_up_flag
3637,"['journey_to_house', 'tax_apple']",whenever journey to house or at some time tax apple,F(journey_to_house)|F(tax_apple)
2641,"['advance_to_house', 'get_hold_of_orange']",at any time advance to house and when possible get hold of orange,F(advance_to_house)&F(get_hold_of_orange)
5206,"['withold_apple', 'visit_house']",whenever withold apple until at some time visit house,F(withold_apple)UF(visit_house)
1947,"['withhold_apple', 'withhold_apple']",at any time withhold apple or when possible withhold apple,F(withhold_apple)|F(withhold_apple)
1994,"['drop_pear', 'collect_apple']",never drop pear until at any time collect apple,G(~(drop_pear))UF(collect_apple)
4854,"['be_at_flag', 'pick_up_orange']",at any time be at flag or pick up orange,F(be_at_flag)|pick_up_orange
1885,"['venture_towards_house', 'drop_apple']",venture towards house and never drop apple,venture_towards_house&G(~(drop_apple))
2402,"['grab_orange', 'let_go_apple']",at some time grab orange or never let go apple,F(grab_orange)|G(~(let_go_apple))
3472,"['walk_near_flag', 'approach_tree']",whenever walk near flag or approach tree,F(walk_near_flag)|approach_tree
3640,"['advance_to_house', 'obtain_pear']",at some time advance to house or when possible obtain pear,F(advance_to_house)|F(obtain_pear)
1906,"['move_to_trashcan', 'withdraw_pear']",move to trashcan or at any time withdraw pear,move_to_trashcan|F(withdraw_pear)
5285,"['collect_orange', 'touch_tree']",whenever collect orange or when possible touch tree,F(collect_orange)|F(touch_tree)
1596,"['get_hold_of_pear', 'tax_apple']",get hold of pear and at some time tax apple,get_hold_of_pear&F(tax_apple)
1150,"['let_go_pear', 'hold_onto_orange']",do not let go pear and forever hold onto orange,~(let_go_pear)&G(hold_onto_orange)
1913,"['go_to_trash_can', 'shift_to_flag']",when possible go to trash can until whenever shift to flag,F(go_to_trash_can)UF(shift_to_flag)
2516,"['take_to_tree', 'go_to_flag']",take to tree or at any time go to flag,take_to_tree|F(go_to_flag)
1548,"['secure_apple', 'reach_flag']",secure apple and at some time reach flag,secure_apple&F(reach_flag)
2825,"['go_to_house', 'visit_house']",when possible go to house and when possible visit house,F(go_to_house)&F(visit_house)
4749,"['collect_orange', 'show_yourself_near_house']",at any time collect orange or when possible show yourself near house,F(collect_orange)|F(show_yourself_near_house)
4791,"['advance_to_house', 'touch_tree']",whenever advance to house until at some time touch tree,F(advance_to_house)UF(touch_tree)
1143,"['take_to_trash_can', 'travel_to_flag']",take to trash can and at any time travel to flag,take_to_trash_can&F(travel_to_flag)
